"DATE","TIME PERIOD","Euribor 6-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR6MD_.HSTA)"
"1994-01-31","1994Jan","6.6700000"
"1994-02-28","1994Feb","6.6800000"
"1994-03-31","1994Mar","6.6500000"
"1994-04-30","1994Apr","6.5100000"
"1994-05-31","1994May","6.2100000"
"1994-06-30","1994Jun","6.3700000"
"1994-07-31","1994Jul","6.5000000"
"1994-08-31","1994Aug","6.6700000"
"1994-09-30","1994Sep","6.7300000"
"1994-10-31","1994Oct","6.7100000"
"1994-11-30","1994Nov","6.6500000"
"1994-12-31","1994Dec","7.0000000"
"1995-01-31","1995Jan","7.0600000"
"1995-02-28","1995Feb","6.9200000"
"1995-03-31","1995Mar","7.7400000"
"1995-04-30","1995Apr","7.3900000"
"1995-05-31","1995May","7.0900000"
"1995-06-30","1995Jun","7.1100000"
"1995-07-31","1995Jul","6.9900000"
"1995-08-31","1995Aug","6.7100000"
"1995-09-30","1995Sep","6.5400000"
"1995-10-31","1995Oct","6.7800000"
"1995-11-30","1995Nov","6.4300000"
"1995-12-31","1995Dec","6.2600000"
"1996-01-31","1996Jan","5.7300000"
"1996-02-29","1996Feb","5.5400000"
"1996-03-31","1996Mar","5.4900000"
"1996-04-30","1996Apr","5.2600000"
"1996-05-31","1996May","5.0300000"
"1996-06-30","1996Jun","5.0800000"
"1996-07-31","1996Jul","5.0700000"
"1996-08-31","1996Aug","5.1000000"
"1996-09-30","1996Sep","4.8800000"
"1996-10-31","1996Oct","4.6600000"
"1996-11-30","1996Nov","4.5300000"
"1996-12-31","1996Dec","4.4200000"
"1997-01-31","1997Jan","4.3100000"
"1997-02-28","1997Feb","4.3600000"
"1997-03-31","1997Mar","4.5000000"
"1997-04-30","1997Apr","4.4100000"
"1997-05-31","1997May","4.3200000"
"1997-06-30","1997Jun","4.3000000"
"1997-07-31","1997Jul","4.3100000"
"1997-08-31","1997Aug","4.4200000"
"1997-09-30","1997Sep","4.3500000"
"1997-10-31","1997Oct","4.4700000"
"1997-11-30","1997Nov","4.5100000"
"1997-12-31","1997Dec","4.3700000"
"1998-01-31","1998Jan","4.2300000"
"1998-02-28","1998Feb","4.1900000"
"1998-03-31","1998Mar","4.0400000"
"1998-04-30","1998Apr","4.0600000"
"1998-05-31","1998May","4.0500000"
"1998-06-30","1998Jun","4.0200000"
"1998-07-31","1998Jul","3.9500000"
"1998-08-31","1998Aug","3.9100000"
"1998-09-30","1998Sep","3.8200000"
"1998-10-31","1998Oct","3.6800000"
"1998-11-30","1998Nov","3.6200000"
"1998-12-31","1998Dec","3.3200000"
"1999-01-31","1999Jan","3.0914500"
"1999-02-28","1999Feb","3.0400000"
"1999-03-31","1999Mar","3.0249565"
"1999-04-30","1999Apr","2.7043182"
"1999-05-31","1999May","2.5976190"
"1999-06-30","1999Jun","2.6800909"
"1999-07-31","1999Jul","2.8975000"
"1999-08-31","1999Aug","3.0532727"
"1999-09-30","1999Sep","3.1070909"
"1999-10-31","1999Oct","3.4570952"
"1999-11-30","1999Nov","3.4843182"
"1999-12-31","1999Dec","3.5116818"
"2000-01-31","2000Jan","3.5562857"
"2000-02-29","2000Feb","3.7346667"
"2000-03-31","2000Mar","3.9362174"
"2000-04-30","2000Apr","4.0826667"
"2000-05-31","2000May","4.5439091"
"2000-06-30","2000Jun","4.6810909"
"2000-07-31","2000Jul","4.8368571"
"2000-08-31","2000Aug","5.0109565"
"2000-09-30","2000Sep","5.0379524"
"2000-10-31","2000Oct","5.1033182"
"2000-11-30","2000Nov","5.1308182"
"2000-12-31","2000Dec","4.9196842"
"2001-01-31","2001Jan","4.6752727"
"2001-02-28","2001Feb","4.6664000"
"2001-03-31","2001Mar","4.5769091"
"2001-04-30","2001Apr","4.5664211"
"2001-05-31","2001May","4.5577727"
"2001-06-30","2001Jun","4.3529048"
"2001-07-31","2001Jul","4.3873182"
"2001-08-31","2001Aug","4.2249130"
"2001-09-30","2001Sep","3.8757500"
"2001-10-31","2001Oct","3.4593478"
"2001-11-30","2001Nov","3.2624545"
"2001-12-31","2001Dec","3.2556111"
"2002-01-31","2002Jan","3.3423182"
"2002-02-28","2002Feb","3.3975500"
"2002-03-31","2002Mar","3.5001000"
"2002-04-30","2002Apr","3.5360000"
"2002-05-31","2002May","3.6263636"
"2002-06-30","2002Jun","3.5903000"
"2002-07-31","2002Jul","3.4836087"
"2002-08-31","2002Aug","3.3797727"
"2002-09-30","2002Sep","3.2695238"
"2002-10-31","2002Oct","3.1676087"
"2002-11-30","2002Nov","3.0368571"
"2002-12-31","2002Dec","2.8923500"
"2003-01-31","2003Jan","2.7581364"
"2003-02-28","2003Feb","2.5777000"
"2003-03-31","2003Mar","2.4507143"
"2003-04-30","2003Apr","2.4694500"
"2003-05-31","2003May","2.3083810"
"2003-06-30","2003Jun","2.0843333"
"2003-07-31","2003Jul","2.0925217"
"2003-08-31","2003Aug","2.1720952"
"2003-09-30","2003Sep","2.1776364"
"2003-10-31","2003Oct","2.1726522"
"2003-11-30","2003Nov","2.2240500"
"2003-12-31","2003Dec","2.1994762"
"2004-01-31","2004Jan","2.1154286"
"2004-02-29","2004Feb","2.0859000"
"2004-03-31","2004Mar","2.0185217"
"2004-04-30","2004Apr","2.0614000"
"2004-05-31","2004May","2.1360476"
"2004-06-30","2004Jun","2.1884545"
"2004-07-31","2004Jul","2.1878182"
"2004-08-31","2004Aug","2.1690909"
"2004-09-30","2004Sep","2.2003182"
"2004-10-31","2004Oct","2.1906190"
"2004-11-30","2004Nov","2.2173182"
"2004-12-31","2004Dec","2.2064783"
"2005-01-31","2005Jan","2.1920000"
"2005-02-28","2005Feb","2.1846000"
"2005-03-31","2005Mar","2.1918095"
"2005-04-30","2005Apr","2.1722381"
"2005-05-31","2005May","2.1440909"
"2005-06-30","2005Jun","2.1069091"
"2005-07-31","2005Jul","2.1345238"
"2005-08-31","2005Aug","2.1595217"
"2005-09-30","2005Sep","2.1666364"
"2005-10-31","2005Oct","2.2720476"
"2005-11-30","2005Nov","2.5002273"
"2005-12-31","2005Dec","2.6003333"
"2006-01-31","2006Jan","2.6507273"
"2006-02-28","2006Feb","2.7248500"
"2006-03-31","2006Mar","2.8720435"
"2006-04-30","2006Apr","2.9560556"
"2006-05-31","2006May","3.0581818"
"2006-06-30","2006Jun","3.1580455"
"2006-07-31","2006Jul","3.2875238"
"2006-08-31","2006Aug","3.4095652"
"2006-09-30","2006Sep","3.5274762"
"2006-10-31","2006Oct","3.6445909"
"2006-11-30","2006Nov","3.7281364"
"2006-12-31","2006Dec","3.7894211"
"2007-01-31","2007Jan","3.8896818"
"2007-02-28","2007Feb","3.9443500"
"2007-03-31","2007Mar","3.9963182"
"2007-04-30","2007Apr","4.0973684"
"2007-05-31","2007May","4.1965909"
"2007-06-30","2007Jun","4.2829524"
"2007-07-31","2007Jul","4.3585455"
"2007-08-31","2007Aug","4.5937826"
"2007-09-30","2007Sep","4.7513500"
"2007-10-31","2007Oct","4.6633913"
"2007-11-30","2007Nov","4.6297273"
"2007-12-31","2007Dec","4.8193684"
"2008-01-31","2008Jan","4.5013636"
"2008-02-29","2008Feb","4.3564762"
"2008-03-31","2008Mar","4.5930000"
"2008-04-30","2008Apr","4.7953636"
"2008-05-31","2008May","4.8974762"
"2008-06-30","2008Jun","5.0883333"
"2008-07-31","2008Jul","5.1481739"
"2008-08-31","2008Aug","5.1601905"
"2008-09-30","2008Sep","5.2189545"
"2008-10-31","2008Oct","5.1780870"
"2008-11-30","2008Nov","4.2947500"
"2008-12-31","2008Dec","3.3653333"
"2009-01-31","2009Jan","2.5388571"
"2009-02-28","2009Feb","2.0340500"
"2009-03-31","2009Mar","1.7745455"
"2009-04-30","2009Apr","1.6083000"
"2009-05-31","2009May","1.4802500"
"2009-06-30","2009Jun","1.4356364"
"2009-07-31","2009Jul","1.2128696"
"2009-08-31","2009Aug","1.1154286"
"2009-09-30","2009Sep","1.0422727"
"2009-10-31","2009Oct","1.0166818"
"2009-11-30","2009Nov","0.9931429"
"2009-12-31","2009Dec","0.9955909"
"2010-01-31","2010Jan","0.9772500"
"2010-02-28","2010Feb","0.9645500"
"2010-03-31","2010Mar","0.9524348"
"2010-04-30","2010Apr","0.9552000"
"2010-05-31","2010May","0.9822381"
"2010-06-30","2010Jun","1.0117727"
"2010-07-31","2010Jul","1.1042273"
"2010-08-31","2010Aug","1.1471818"
"2010-09-30","2010Sep","1.1372727"
"2010-10-31","2010Oct","1.2239048"
"2010-11-30","2010Nov","1.2690455"
"2010-12-31","2010Dec","1.2506957"
"2011-01-31","2011Jan","1.2535714"
"2011-02-28","2011Feb","1.3522500"
"2011-03-31","2011Mar","1.4832609"
"2011-04-30","2011Apr","1.6213684"
"2011-05-31","2011May","1.7068182"
"2011-06-30","2011Jun","1.7492727"
"2011-07-31","2011Jul","1.8182381"
"2011-08-31","2011Aug","1.7547826"
"2011-09-30","2011Sep","1.7359545"
"2011-10-31","2011Oct","1.7760952"
"2011-11-30","2011Nov","1.7064545"
"2011-12-31","2011Dec","1.6707143"
"2012-01-31","2012Jan","1.5047273"
"2012-02-29","2012Feb","1.3453810"
"2012-03-31","2012Mar","1.1636818"
"2012-04-30","2012Apr","1.0402105"
"2012-05-31","2012May","0.9703636"
"2012-06-30","2012Jun","0.9345238"
"2012-07-31","2012Jul","0.7794091"
"2012-08-31","2012Aug","0.6060870"
"2012-09-30","2012Sep","0.4839000"
"2012-10-31","2012Oct","0.4118261"
"2012-11-30","2012Nov","0.3604091"
"2012-12-31","2012Dec","0.3238333"
"2013-01-31","2013Jan","0.3442727"
"2013-02-28","2013Feb","0.3618500"
"2013-03-31","2013Mar","0.3288000"
"2013-04-30","2013Apr","0.3242857"
"2013-05-31","2013May","0.2994545"
"2013-06-30","2013Jun","0.3208500"
"2013-07-31","2013Jul","0.3358261"
"2013-08-31","2013Aug","0.3422273"
"2013-09-30","2013Sep","0.3400476"
"2013-10-31","2013Oct","0.3415217"
"2013-11-30","2013Nov","0.3269048"
"2013-12-31","2013Dec","0.3705500"
"2014-01-31","2014Jan","0.3960000"
"2014-02-28","2014Feb","0.3866000"
"2014-03-31","2014Mar","0.4069048"
"2014-04-30","2014Apr","0.4299000"
"2014-05-31","2014May","0.4168571"
"2014-06-30","2014Jun","0.3331905"
"2014-07-31","2014Jul","0.3046087"
"2014-08-31","2014Aug","0.2917619"
"2014-09-30","2014Sep","0.1996818"
"2014-10-31","2014Oct","0.1836522"
"2014-11-30","2014Nov","0.1817500"
"2014-12-31","2014Dec","0.1764762"
"2015-01-31","2015Jan","0.1522857"
"2015-02-28","2015Feb","0.1258500"
"2015-03-31","2015Mar","0.0968636"
"2015-04-30","2015Apr","0.0728000"
"2015-05-31","2015May","0.0570526"
"2015-06-30","2015Jun","0.0491818"
"2015-07-31","2015Jul","0.0487391"
"2015-08-31","2015Aug","0.0439048"
"2015-09-30","2015Sep","0.0352727"
"2015-10-31","2015Oct","0.0196818"
"2015-11-30","2015Nov","-0.0154286"
"2015-12-31","2015Dec","-0.0397727"
"2016-01-31","2016Jan","-0.0608000"
"2016-02-29","2016Feb","-0.1152857"
"2016-03-31","2016Mar","-0.1335714"
"2016-04-30","2016Apr","-0.1379524"
"2016-05-31","2016May","-0.1445000"
"2016-06-30","2016Jun","-0.1624091"
"2016-07-31","2016Jul","-0.1881905"
"2016-08-31","2016Aug","-0.1886522"
"2016-09-30","2016Sep","-0.1991364"
"2016-10-31","2016Oct","-0.2070952"
"2016-11-30","2016Nov","-0.2148182"
"2016-12-31","2016Dec","-0.2179048"
"2017-01-31","2017Jan","-0.2355455"
"2017-02-28","2017Feb","-0.2405500"
"2017-03-31","2017Mar","-0.2407391"
"2017-04-30","2017Apr","-0.2455000"
