"DATE","TIME PERIOD","Euribor 6-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR6MD_.HSTA)"
"2017-05-31","2017May","-0.2508636"
"2017-06-30","2017Jun","-0.2668182"
"2017-07-31","2017Jul","-0.2726190"
"2017-08-31","2017Aug","-0.2716522"
"2017-09-30","2017Sep","-0.2726190"
"2017-10-31","2017Oct","-0.2739091"
"2017-11-30","2017Nov","-0.2742727"
"2017-12-31","2017Dec","-0.2713684"
"2018-01-31","2018Jan","-0.2741818"
"2018-02-28","2018Feb","-0.2749000"
"2018-03-31","2018Mar","-0.2713333"
"2018-04-30","2018Apr","-0.2702000"
"2018-05-31","2018May","-0.2700000"
"2018-06-30","2018Jun","-0.2685238"
"2018-07-31","2018Jul","-0.2691818"
"2018-08-31","2018Aug","-0.2667826"
"2018-09-30","2018Sep","-0.2682500"
"2018-10-31","2018Oct","-0.2640435"
"2018-11-30","2018Nov","-0.2565909"
"2018-12-31","2018Dec","-0.2408421"
"2019-01-31","2019Jan","-0.2363636"
"2019-02-28","2019Feb","-0.2318000"
"2019-03-31","2019Mar","-0.2302381"
"2019-04-30","2019Apr","-0.2307500"
"2019-05-31","2019May","-0.2373636"
"2019-06-30","2019Jun","-0.2790000"
"2019-07-31","2019Jul","-0.3473913"
"2019-08-31","2019Aug","-0.4049545"
"2019-09-30","2019Sep","-0.3938571"
"2019-10-31","2019Oct","-0.3615652"
"2019-11-30","2019Nov","-0.3373810"
"2019-12-31","2019Dec","-0.3355500"
"2020-01-31","2020Jan","-0.3300909"
"2020-02-29","2020Feb","-0.3552500"
"2020-03-31","2020Mar","-0.3648636"
"2020-04-30","2020Apr","-0.1920000"
"2020-05-31","2020May","-0.1430500"
"2020-06-30","2020Jun","-0.2226818"
"2020-07-31","2020Jul","-0.3461304"
"2020-08-31","2020Aug","-0.4329048"
"2020-09-30","2020Sep","-0.4626364"
"2020-10-31","2020Oct","-0.4940000"
"2020-11-30","2020Nov","-0.5090000"
"2020-12-31","2020Dec","-0.5186364"
"2021-01-31","2021Jan","-0.5285000"
"2021-02-28","2021Feb","-0.5205000"
"2021-03-31","2021Mar","-0.5160000"
"2021-04-30","2021Apr","-0.5158000"
"2021-05-31","2021May","-0.5130000"
"2021-06-30","2021Jun","-0.5149545"
"2021-07-31","2021Jul","-0.5159545"
"2021-08-31","2021Aug","-0.5273636"
"2021-09-30","2021Sep","-0.5224091"
"2021-10-31","2021Oct","-0.5272381"
"2021-11-30","2021Nov","-0.5340000"
"2021-12-31","2021Dec","-0.5446087"
"2022-01-31","2022Jan","-0.5273333"
"2022-02-28","2022Feb","-0.4761500"
"2022-03-31","2022Mar","-0.4176522"
"2022-04-30","2022Apr","-0.3108947"
"2022-05-31","2022May","-0.1436364"
"2022-06-30","2022Jun","0.1616818"
"2022-07-31","2022Jul","0.4664762"
"2022-08-31","2022Aug","0.8370435"
"2022-09-30","2022Sep","1.5960909"
"2022-10-31","2022Oct","1.9973810"
"2022-11-30","2022Nov","2.3212273"
"2022-12-31","2022Dec","2.5603333"
"2023-01-31","2023Jan","2.8578636"
"2023-02-28","2023Feb","3.1353500"
"2023-03-31","2023Mar","3.2674348"
"2023-04-30","2023Apr","3.5156111"
"2023-05-31","2023May","3.6817727"
"2023-06-30","2023Jun","3.8252727"
"2023-07-31","2023Jul","3.9424762"
"2023-08-31","2023Aug","3.9444783"
"2023-09-30","2023Sep","4.0303333"
"2023-10-31","2023Oct","4.1148182"
"2023-11-30","2023Nov","4.0646818"
"2023-12-31","2023Dec","3.9269474"
"2024-01-31","2024Jan","3.8916818"
"2024-02-29","2024Feb","3.9005238"
"2024-03-31","2024Mar","3.8948000"
"2024-04-30","2024Apr","3.8382381"
"2024-05-31","2024May","3.7866364"
"2024-06-30","2024Jun","3.7149000"
"2024-07-31","2024Jul","3.6435652"
"2024-08-31","2024Aug","3.4249091"
"2024-09-30","2024Sep","3.2578095"
"2024-10-31","2024Oct","3.0016087"
"2024-11-30","2024Nov","2.7875238"
"2024-12-31","2024Dec","2.6321500"
"2025-01-31","2025Jan","2.6144091"
"2025-02-28","2025Feb","2.4596000"
"2025-03-31","2025Mar","2.3853810"
"2025-04-30","2025Apr","2.2017000"
"2025-05-31","2025May","2.1161905"
"2025-06-30","2025Jun","2.0496667"
"2025-07-31","2025Jul","2.0553478"
"2025-08-31","2025Aug","2.0844286"
"2025-09-30","2025Sep","2.1023182"
"2025-10-31","2025Oct","2.1068261"
"2025-11-30","2025Nov","2.1310000"
"2025-12-31","2025Dec","2.1394762"
"2026-01-31","2026Jan","2.1371429"
"2026-02-28","2026Feb","2.1435000"
"2026-03-31","2026Mar","2.3219545"
"2026-04-30","2026Apr","2.4537500"
"2026-05-31","2026May","2.5364000"
"2026-06-30","2026Jun","2.5955000"
"2026-07-31","2026Jul","2.6467391"
