"DATE","TIME PERIOD","HICP Inflation rate - Total - Annual rate of change (HICP.M.ES.N.000000.4D0.ANR)"
"2017-05-31","2017May","2.0"
"2017-06-30","2017Jun","1.6"
"2017-07-31","2017Jul","1.7"
"2017-08-31","2017Aug","2.0"
"2017-09-30","2017Sep","1.8"
"2017-10-31","2017Oct","1.7"
"2017-11-30","2017Nov","1.8"
"2017-12-31","2017Dec","1.2"
"2018-01-31","2018Jan","0.7"
"2018-02-28","2018Feb","1.2"
"2018-03-31","2018Mar","1.3"
"2018-04-30","2018Apr","1.1"
"2018-05-31","2018May","2.1"
"2018-06-30","2018Jun","2.3"
"2018-07-31","2018Jul","2.3"
"2018-08-31","2018Aug","2.2"
"2018-09-30","2018Sep","2.3"
"2018-10-31","2018Oct","2.3"
"2018-11-30","2018Nov","1.7"
"2018-12-31","2018Dec","1.2"
"2019-01-31","2019Jan","1.0"
"2019-02-28","2019Feb","1.1"
"2019-03-31","2019Mar","1.3"
"2019-04-30","2019Apr","1.7"
"2019-05-31","2019May","0.9"
"2019-06-30","2019Jun","0.6"
"2019-07-31","2019Jul","0.6"
"2019-08-31","2019Aug","0.5"
"2019-09-30","2019Sep","0.2"
"2019-10-31","2019Oct","0.2"
"2019-11-30","2019Nov","0.5"
"2019-12-31","2019Dec","0.8"
"2020-01-31","2020Jan","1.1"
"2020-02-29","2020Feb","0.9"
"2020-03-31","2020Mar","0.1"
"2020-04-30","2020Apr","-0.7"
"2020-05-31","2020May","-0.9"
"2020-06-30","2020Jun","-0.3"
"2020-07-31","2020Jul","-0.7"
"2020-08-31","2020Aug","-0.6"
"2020-09-30","2020Sep","-0.6"
"2020-10-31","2020Oct","-0.9"
"2020-11-30","2020Nov","-0.8"
"2020-12-31","2020Dec","-0.6"
"2021-01-31","2021Jan","0.4"
"2021-02-28","2021Feb","-0.1"
"2021-03-31","2021Mar","1.2"
"2021-04-30","2021Apr","2.0"
"2021-05-31","2021May","2.4"
"2021-06-30","2021Jun","2.5"
"2021-07-31","2021Jul","2.9"
"2021-08-31","2021Aug","3.3"
"2021-09-30","2021Sep","4.0"
"2021-10-31","2021Oct","5.4"
"2021-11-30","2021Nov","5.5"
"2021-12-31","2021Dec","6.6"
"2022-01-31","2022Jan","6.1"
"2022-02-28","2022Feb","7.6"
"2022-03-31","2022Mar","9.8"
"2022-04-30","2022Apr","8.3"
"2022-05-31","2022May","8.5"
"2022-06-30","2022Jun","10.0"
"2022-07-31","2022Jul","10.7"
"2022-08-31","2022Aug","10.5"
"2022-09-30","2022Sep","9.0"
"2022-10-31","2022Oct","7.3"
"2022-11-30","2022Nov","6.7"
"2022-12-31","2022Dec","5.5"
"2023-01-31","2023Jan","5.9"
"2023-02-28","2023Feb","6.0"
"2023-03-31","2023Mar","3.1"
"2023-04-30","2023Apr","3.8"
"2023-05-31","2023May","2.9"
"2023-06-30","2023Jun","1.6"
"2023-07-31","2023Jul","2.1"
"2023-08-31","2023Aug","2.4"
"2023-09-30","2023Sep","3.3"
"2023-10-31","2023Oct","3.5"
"2023-11-30","2023Nov","3.3"
"2023-12-31","2023Dec","3.3"
"2024-01-31","2024Jan","3.5"
"2024-02-29","2024Feb","2.9"
"2024-03-31","2024Mar","3.2"
"2024-04-30","2024Apr","3.4"
"2024-05-31","2024May","3.8"
"2024-06-30","2024Jun","3.6"
"2024-07-31","2024Jul","2.9"
"2024-08-31","2024Aug","2.4"
"2024-09-30","2024Sep","1.7"
"2024-10-31","2024Oct","1.8"
"2024-11-30","2024Nov","2.4"
"2024-12-31","2024Dec","2.8"
"2025-01-31","2025Jan","2.9"
"2025-02-28","2025Feb","2.9"
"2025-03-31","2025Mar","2.2"
"2025-04-30","2025Apr","2.2"
"2025-05-31","2025May","2.0"
"2025-06-30","2025Jun","2.3"
"2025-07-31","2025Jul","2.7"
"2025-08-31","2025Aug","2.7"
"2025-09-30","2025Sep","3.0"
"2025-10-31","2025Oct","3.2"
"2025-11-30","2025Nov","3.2"
"2025-12-31","2025Dec","3.0"
"2026-01-31","2026Jan","2.4"
"2026-02-28","2026Feb","2.5"
"2026-03-31","2026Mar","3.4"
"2026-04-30","2026Apr","3.5"
"2026-05-31","2026May","3.6"
"2026-06-30","2026Jun","3.6"
"2026-07-31","2026Jul","3.8"
