"DATE","TIME PERIOD","Euribor 1-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR1MD_.HSTA)"
"1994-01-31","1994Jan","7.1200000"
"1994-02-28","1994Feb","6.9900000"
"1994-03-31","1994Mar","6.8400000"
"1994-04-30","1994Apr","6.6900000"
"1994-05-31","1994May","6.3200000"
"1994-06-30","1994Jun","6.2800000"
"1994-07-31","1994Jul","6.2600000"
"1994-08-31","1994Aug","6.2700000"
"1994-09-30","1994Sep","6.1700000"
"1994-10-31","1994Oct","6.1400000"
"1994-11-30","1994Nov","6.1700000"
"1994-12-31","1994Dec","6.4900000"
"1995-01-31","1995Jan","6.3700000"
"1995-02-28","1995Feb","6.3600000"
"1995-03-31","1995Mar","7.4200000"
"1995-04-30","1995Apr","7.1400000"
"1995-05-31","1995May","7.0100000"
"1995-06-30","1995Jun","7.0500000"
"1995-07-31","1995Jul","6.8600000"
"1995-08-31","1995Aug","6.6300000"
"1995-09-30","1995Sep","6.4800000"
"1995-10-31","1995Oct","6.6900000"
"1995-11-30","1995Nov","6.4200000"
"1995-12-31","1995Dec","6.3800000"
"1996-01-31","1996Jan","5.8700000"
"1996-02-29","1996Feb","5.6300000"
"1996-03-31","1996Mar","5.5000000"
"1996-04-30","1996Apr","5.3200000"
"1996-05-31","1996May","5.1500000"
"1996-06-30","1996Jun","5.1100000"
"1996-07-31","1996Jul","5.0900000"
"1996-08-31","1996Aug","5.0700000"
"1996-09-30","1996Sep","4.8400000"
"1996-10-31","1996Oct","4.7100000"
"1996-11-30","1996Nov","4.5900000"
"1996-12-31","1996Dec","4.6000000"
"1997-01-31","1997Jan","4.4700000"
"1997-02-28","1997Feb","4.4800000"
"1997-03-31","1997Mar","4.5100000"
"1997-04-30","1997Apr","4.3800000"
"1997-05-31","1997May","4.3000000"
"1997-06-30","1997Jun","4.2900000"
"1997-07-31","1997Jul","4.2900000"
"1997-08-31","1997Aug","4.3200000"
"1997-09-30","1997Sep","4.2700000"
"1997-10-31","1997Oct","4.3900000"
"1997-11-30","1997Nov","4.4000000"
"1997-12-31","1997Dec","4.3500000"
"1998-01-31","1998Jan","4.2500000"
"1998-02-28","1998Feb","4.2400000"
"1998-03-31","1998Mar","4.1400000"
"1998-04-30","1998Apr","4.1200000"
"1998-05-31","1998May","4.0700000"
"1998-06-30","1998Jun","4.0200000"
"1998-07-31","1998Jul","3.9400000"
"1998-08-31","1998Aug","3.9400000"
"1998-09-30","1998Sep","3.9600000"
"1998-10-31","1998Oct","3.8600000"
"1998-11-30","1998Nov","3.6700000"
"1998-12-31","1998Dec","3.4400000"
"1999-01-31","1999Jan","3.1583500"
"1999-02-28","1999Feb","3.1264000"
"1999-03-31","1999Mar","3.0547826"
"1999-04-30","1999Apr","2.6947273"
"1999-05-31","1999May","2.5660952"
"1999-06-30","1999Jun","2.6054545"
"1999-07-31","1999Jul","2.6345000"
"1999-08-31","1999Aug","2.6135000"
"1999-09-30","1999Sep","2.5835455"
"1999-10-31","1999Oct","2.7628571"
"1999-11-30","1999Nov","3.0607273"
"1999-12-31","1999Dec","3.5093636"
"2000-01-31","2000Jan","3.1502381"
"2000-02-29","2000Feb","3.3591429"
"2000-03-31","2000Mar","3.5892174"
"2000-04-30","2000Apr","3.7909444"
"2000-05-31","2000May","4.1631818"
"2000-06-30","2000Jun","4.3702273"
"2000-07-31","2000Jul","4.4076667"
"2000-08-31","2000Aug","4.5743478"
"2000-09-30","2000Sep","4.6977143"
"2000-10-31","2000Oct","4.8539545"
"2000-11-30","2000Nov","4.9249091"
"2000-12-31","2000Dec","4.9482632"
"2001-01-31","2001Jan","4.8049091"
"2001-02-28","2001Feb","4.7996000"
"2001-03-31","2001Mar","4.7760909"
"2001-04-30","2001Apr","4.7798947"
"2001-05-31","2001May","4.6633636"
"2001-06-30","2001Jun","4.5300000"
"2001-07-31","2001Jul","4.5246818"
"2001-08-31","2001Aug","4.4646522"
"2001-09-30","2001Sep","4.0508000"
"2001-10-31","2001Oct","3.7189130"
"2001-11-30","2001Nov","3.4266818"
"2001-12-31","2001Dec","3.4182222"
"2002-01-31","2002Jan","3.3480455"
"2002-02-28","2002Feb","3.3363000"
"2002-03-31","2002Mar","3.3456000"
"2002-04-30","2002Apr","3.3356667"
"2002-05-31","2002May","3.3740455"
"2002-06-30","2002Jun","3.3835000"
"2002-07-31","2002Jul","3.3612174"
"2002-08-31","2002Aug","3.3328182"
"2002-09-30","2002Sep","3.3174286"
"2002-10-31","2002Oct","3.3059565"
"2002-11-30","2002Nov","3.2312381"
"2002-12-31","2002Dec","2.9798500"
"2003-01-31","2003Jan","2.8547727"
"2003-02-28","2003Feb","2.7747500"
"2003-03-31","2003Mar","2.6009524"
"2003-04-30","2003Apr","2.5762500"
"2003-05-31","2003May","2.5203810"
"2003-06-30","2003Jun","2.1770000"
"2003-07-31","2003Jul","2.1306087"
"2003-08-31","2003Aug","2.1223333"
"2003-09-30","2003Sep","2.1259545"
"2003-10-31","2003Oct","2.1001304"
"2003-11-30","2003Nov","2.0867500"
"2003-12-31","2003Dec","2.1314762"
"2004-01-31","2004Jan","2.0759048"
"2004-02-29","2004Feb","2.0605500"
"2004-03-31","2004Mar","2.0428261"
"2004-04-30","2004Apr","2.0523000"
"2004-05-31","2004May","2.0609524"
"2004-06-30","2004Jun","2.0761818"
"2004-07-31","2004Jul","2.0755455"
"2004-08-31","2004Aug","2.0769545"
"2004-09-30","2004Sep","2.0778182"
"2004-10-31","2004Oct","2.0861905"
"2004-11-30","2004Nov","2.1100909"
"2004-12-31","2004Dec","2.1670000"
"2005-01-31","2005Jan","2.1110000"
